"Date","Vegetable","lbs","Unit Price (per pound)","Cost","Bimonthly","Bimonthly_Cost","Bimonthly_lbs","year_lbs","year_cost","family"
24-09-24,"eggplant",10.55,"$2.49",26.27,"Late Sep",73.33,29.45,658.55,1639.81,"Solanaceae"
24-09-25,"peppers",50.6,"$2.65",134.09,"Late Sep",249.63,94.2,867.2,2277.29,"Solanaceae"
24-09-25,"okra",4.6,"$5.10",23.46,"Late Sep",248.64,48.75,243.853,1243.75,"Malvaceae"
24-09-25,"squash",1.3,"$2.36",3.07,"Late Sep",20.06,8.5,114.35,269.86,"Cucurbitaceae"
24-09-25,"cucumbers",12.55,"$1.60",20.08,"Late Sep",35.12,21.95,675.2,1080.32,"Cucurbitaceae"
24-09-27,"cherry tomatoes",5,"$4.99",24.95,"Late Sep",93.82,18.8,54.75,273.21,"Solanaceae"
24-09-30,"okra",9.4,"$5.10",47.94,"Late Sep",248.64,48.75,243.853,1243.75,"Malvaceae"
24-09-30,"cherry tomatoes",6.35,"$4.99",31.69,"Late Sep",93.82,18.8,54.75,273.21,"Solanaceae"
24-10-01,"peppers",52.65,"$2.65",139.52,"Early Oct",401.87,151.65,867.2,2277.29,"Solanaceae"
24-10-01,"tomatoes",18.95,"$3.98",75.42,"Early Oct",115.62,29.05,82.2,327.16,"Solanaceae"
24-10-02,"basil",1,"$30",30,"Early Oct",63,2.1,8.1,243,"Lamiaceae"
24-10-02,"okra",4.15,"$5.10",21.17,"Early Oct",176.48,34.6,243.853,1243.75,"Malvaceae"
24-10-04,"okra",4.5,"$5.10",22.95,"Early Oct",176.48,34.6,243.853,1243.75,"Malvaceae"
24-10-04,"chives",1.1,"$15.00",16.5,"Early Oct",16.5,1.1,27.4,411,"Alliaceae"
24-10-04,"basil",1.1,"$30",33,"Early Oct",63,2.1,8.1,243,"Lamiaceae"
24-10-07,"okra",12.55,"$5.10",64.01,"Early Oct",176.48,34.6,243.853,1243.75,"Malvaceae"
24-10-07,"tomatoes",10.1,"$3.98",40.2,"Early Oct",115.62,29.05,82.2,327.16,"Solanaceae"
24-10-07,"cherry tomatoes",9,"$4.99",44.91,"Early Oct",44.91,9,54.75,273.21,"Solanaceae"
24-10-08,"peppers",35.2,"$2.65",93.28,"Early Oct",401.87,151.65,867.2,2277.29,"Solanaceae"
24-10-09,"okra",4.85,"$5.10",24.74,"Early Oct",176.48,34.6,243.853,1243.75,"Malvaceae"
24-10-10,"peppers",63.8,"$2.65",169.07,"Early Oct",401.87,151.65,867.2,2277.29,"Solanaceae"
24-10-14,"okra",8.55,"$5.10",43.61,"Early Oct",176.48,34.6,243.853,1243.75,"Malvaceae"
24-10-16,"okra",1.5,"$5.10",7.65,"Late Oct",77.03,15.1,243.853,1243.75,"Malvaceae"
24-10-16,"cherry tomatoes",5.7,"$4.99",28.44,"Late Oct",99.05,19.85,54.75,273.21,"Solanaceae"
24-10-16,"peppers",49.55,"$2.65",131.31,"Late Oct",212.27,80.1,867.2,2277.29,"Solanaceae"
24-10-16,"chives",1.75,"$15.00",26.25,"Late Oct",89.25,5.95,27.4,411,"Alliaceae"
24-10-18,"okra",1.95,"$5.10",9.95,"Late Oct",77.03,15.1,243.853,1243.75,"Malvaceae"
24-10-18,"cherry tomatoes",4.6,"$4.99",22.95,"Late Oct",99.05,19.85,54.75,273.21,"Solanaceae"
24-10-21,"tomatoes",10.1,"$3.98",40.2,"Late Oct",40.2,10.1,82.2,327.16,"Solanaceae"
24-10-21,"okra",5.95,"$5.10",30.35,"Late Oct",77.03,15.1,243.853,1243.75,"Malvaceae"
24-10-21,"chives",2.2,"$15.00",33,"Late Oct",89.25,5.95,27.4,411,"Alliaceae"
24-10-21,"roselle",3.3,"$8.99",29.67,"Late Oct",69.23,7.7,9.85,88.56,"Malvaceae"
24-10-21,"cherry tomatoes",2.05,"$4.99",10.23,"Late Oct",99.05,19.85,54.75,273.21,"Solanaceae"
24-10-23,"okra",2.85,"$5.10",14.54,"Late Oct",77.03,15.1,243.853,1243.75,"Malvaceae"
24-10-23,"peppers",3.1,"$2.65",8.22,"Late Oct",212.27,80.1,867.2,2277.29,"Solanaceae"
24-10-23,"cherry tomatoes",1.15,"$4.99",5.74,"Late Oct",99.05,19.85,54.75,273.21,"Solanaceae"
24-10-23,"basil",0.8,"$30",24,"Late Oct",48,1.6,8.1,243,"Lamiaceae"
24-10-28,"cherry tomatoes",2.2,"$4.99",10.98,"Late Oct",99.05,19.85,54.75,273.21,"Solanaceae"
24-10-28,"okra",2.85,"$5.10",14.54,"Late Oct",77.03,15.1,243.853,1243.75,"Malvaceae"
24-10-29,"peppers",11,"$2.65",29.15,"Late Oct",212.27,80.1,867.2,2277.29,"Solanaceae"
24-10-30,"peppers",8.8,"$2.65",23.32,"Late Oct",212.27,80.1,867.2,2277.29,"Solanaceae"
24-10-30,"chives",2,"$15.00",30,"Late Oct",89.25,5.95,27.4,411,"Alliaceae"
24-10-30,"roselle",4.4,"$8.99",39.56,"Late Oct",69.23,7.7,9.85,88.56,"Malvaceae"
24-10-30,"pumpkins",14.75,"$2.00",29.5,"Late Oct",29.5,14.75,114.7,229.4,"Cucurbitaceae"
24-10-30,"bok choy",26.15,"$1.77",46.29,"Late Oct",99.66,56.3,431.2,763.23,"Brassicaceae"
24-10-31,"peppers",3.05,"$2.65",8.08,"Late Oct",212.27,80.1,867.2,2277.29,"Solanaceae"
24-10-31,"peppers",4.6,"$2.65",12.19,"Late Oct",212.27,80.1,867.2,2277.29,"Solanaceae"
24-10-31,"mint",0.4,"$18.00",7.2,"Late Oct",7.2,0.4,0.7,12.6,"Lamiaceae"
24-10-31,"cherry tomatoes",4.15,"$4.99",20.71,"Late Oct",99.05,19.85,54.75,273.21,"Solanaceae"
24-10-31,"basil",0.8,"$30",24,"Late Oct",48,1.6,8.1,243,"Lamiaceae"
24-10-31,"bok choy",30.15,"$1.77",53.37,"Late Oct",99.66,56.3,431.2,763.23,"Brassicaceae"
24-11-01,"okra",1.3,"$5.10",6.63,"Early Nov",42.33,8.3,243.853,1243.75,"Malvaceae"
24-11-05,"cherry tomatoes",3.95,"$4.99",19.71,"Early Nov",29.94,6,54.75,273.21,"Solanaceae"
24-11-06,"chives",1.9,"$15.00",28.5,"Early Nov",94.5,6.3,27.4,411,"Alliaceae"
24-11-06,"bok choy",30.6,"$1.77",54.16,"Early Nov",141.86,80.15,431.2,763.23,"Brassicaceae"
24-11-06,"turmeric",3.05,"$9.66",29.46,"Early Nov",29.46,3.05,31.55,204.18,"Zingiberaceae"
24-11-06,"roselle",1.5,"$8.99",13.49,"Early Nov",13.49,1.5,9.85,88.56,"Malvaceae"
24-11-06,"lemongrass",1,"$43.09",43.09,"Early Nov",43.09,1,11.8,508.46,"Poaceae"
24-11-06,"peppers",41.5,"$2.65",109.98,"Early Nov",258.78,105.5,867.2,2277.29,"Solanaceae"
24-11-07,"okra",7,"$5.10",35.7,"Early Nov",42.33,8.3,243.853,1243.75,"Malvaceae"
24-11-07,"bok choy",49.55,"$1.77",87.7,"Early Nov",141.86,80.15,431.2,763.23,"Brassicaceae"
24-11-07,"collards",10.25,"$5.00",51.25,"Early Nov",51.25,10.25,275.05,1375.25,"Brassicaceae"
24-11-07,"chives",2,"$15.00",30,"Early Nov",94.5,6.3,27.4,411,"Alliaceae"
24-11-11,"cherries",2.05,"$5.10",10.46,"Early Nov",10.46,2.05,2.05,10.46,"Rosaceae"
24-11-11,"cherry tomatoes",2.05,"$4.99",10.23,"Early Nov",29.94,6,54.75,273.21,"Solanaceae"
24-11-12,"peppers",32,"$2.65",84.8,"Early Nov",258.78,105.5,867.2,2277.29,"Solanaceae"
24-11-12,"swiss chard",3.25,"$2.42",7.87,"Early Nov",7.87,3.25,213.7,517.16,"Amaranthaceae"
24-11-12,"lettuce",3,"$2.44",7.32,"Early Nov",194.29,20.1,172.15,565.28,"Asteraceae"
24-11-12,"peppers",32,"$2.00",64,"Early Nov",258.78,105.5,867.2,2277.29,"Solanaceae"
24-11-12,"chard",3.25,"$1.57",5.1,"Early Nov",5.1,3.25,3.25,5.1,"Amaranthaceae"
24-11-12,"lettuce",3,"$8.99",26.97,"Early Nov",194.29,20.1,172.15,565.28,"Asteraceae"
24-11-25,"turmeric",12.75,"$1.77",22.57,"Late Nov",174.72,28.5,31.55,204.18,"Zingiberaceae"
24-11-12,"lettuce",10,"$15.00",150,"Early Nov",194.29,20.1,172.15,565.28,"Asteraceae"
24-11-14,"lettuce",4.1,"$2.44",10,"Early Nov",194.29,20.1,172.15,565.28,"Asteraceae"
24-11-14,"chives",2.4,"$15.00",36,"Early Nov",94.5,6.3,27.4,411,"Alliaceae"
24-11-18,"roselle",0.65,"$8.99",5.84,"Late Nov",5.84,0.65,9.85,88.56,"Malvaceae"
24-11-19,"peppers",70,"$2.65",185.5,"Late Nov",600.09,226.45,867.2,2277.29,"Solanaceae"
24-11-19,"bok choy",60,"$1.77",106.2,"Late Nov",385.42,217.75,431.2,763.23,"Brassicaceae"
24-11-20,"mint",0.3,"$18.00",5.4,"Late Nov",5.4,0.3,0.7,12.6,"Lamiaceae"
24-11-20,"lemon balm",0.4,"$61.75",24.7,"Late Nov",24.7,0.4,0.4,24.7,"Lamiaceae"
24-11-20,"turmeric",3,"$9.66",28.98,"Late Nov",174.72,28.5,31.55,204.18,"Zingiberaceae"
24-11-20,"lettuce",2.85,"$2.44",6.95,"Late Nov",31.35,12.85,172.15,565.28,"Asteraceae"
24-11-20,"spinach",2,"$5.48",10.96,"Late Nov",10.96,2,12.95,70.97,"Amaranthaceae"
24-11-20,"swiss chard",2.4,"$2.42",5.81,"Late Nov",10.53,4.35,213.7,517.16,"Amaranthaceae"
24-11-20,"chives",1.95,"$15.00",29.25,"Late Nov",42.75,2.85,27.4,411,"Alliaceae"
24-11-20,"pumpkins",99.95,"$2.00",199.9,"Late Nov",199.9,99.95,114.7,229.4,"Cucurbitaceae"
24-11-21,"peppers",156.45,"$2.65",414.59,"Late Nov",600.09,226.45,867.2,2277.29,"Solanaceae"
24-11-21,"bok choy",140.35,"$1.77",248.42,"Late Nov",385.42,217.75,431.2,763.23,"Brassicaceae"
24-11-22,"lemongrass",10.8,"$43.09",465.37,"Late Nov",465.37,10.8,11.8,508.46,"Poaceae"
24-11-22,"sweet potatoes",14.1,"$1.88",26.51,"Late Nov",26.51,14.1,14.1,26.51,"Convolvulaceae"
24-11-25,"turmeric",12.75,"$9.66",123.17,"Late Nov",174.72,28.5,31.55,204.18,"Zingiberaceae"
24-11-25,"lettuce",10,"$2.44",24.4,"Late Nov",31.35,12.85,172.15,565.28,"Asteraceae"
24-11-25,"kale",1.5,"$2.30",3.45,"Late Nov",3.45,1.5,180.85,415.98,"Brassicaceae"
24-11-25,"swiss chard",1.95,"$2.42",4.72,"Late Nov",10.53,4.35,213.7,517.16,"Amaranthaceae"
24-11-25,"chives",0.9,"$15.00",13.5,"Late Nov",42.75,2.85,27.4,411,"Alliaceae"
24-11-25,"collards",7.45,"$5.00",37.25,"Late Nov",37.25,7.45,275.05,1375.25,"Brassicaceae"
24-11-25,"bok choy",17.4,"$1.77",30.8,"Late Nov",385.42,217.75,431.2,763.23,"Brassicaceae"
24-12-02,"lettuce",21.55,"$2.44",52.58,"Early Dec",52.58,21.55,172.15,565.28,"Asteraceae"
24-12-04,"bok choy",33,"$1.77",58.41,"Early Dec",136.29,77,431.2,763.23,"Brassicaceae"
24-12-04,"swiss chard",3,"$2.42",7.26,"Early Dec",7.26,3,213.7,517.16,"Amaranthaceae"
24-12-04,"radish",13.8,"$4.16",57.41,"Early Dec",99.01,23.8,221,919.36,"Brassicaceae"
24-12-04,"ginger",2.5,"$3.12",7.8,"Early Dec",7.8,2.5,2.5,7.8,"Zingiberaceae"
24-12-10,"bok choy",44,"$1.77",77.88,"Early Dec",136.29,77,431.2,763.23,"Brassicaceae"
24-12-10,"radish",10,"$4.16",41.6,"Early Dec",99.01,23.8,221,919.36,"Brassicaceae"
24-12-10,"napa cabbage",206.85,"$2.00",413.7,"Early Dec",627.7,313.85,313.85,627.7,"Brassicaceae"
24-12-12,"napa cabbage",107,"$2.00",214,"Early Dec",627.7,313.85,313.85,627.7,"Brassicaceae"
